,X1,PMCID,statistic,reported,df1,df2,p,value,n,context,sectionName,decision,doi,journalID,journalIDAbrev,title,issue,volume,call,realYear
498,502,PMC3851778,F,"F(1,37) = 9.691, p < 0.01",1,37,p < 0.01,9.691,NA,"23.080, p < 0.001] where cued end trials (M = 718.4 ms) were faster than non-cued end trials (M = 750 ms). SOA 700: significant 29.1 ms effect [F(1,18) = 18.894, p < 0.001] where cued end trials (M = 698.3 ms) were faster than non-cued end trials (M = 727.4 ms). SOA 900: significant 24.3 ms effect [F(1,37) = 9.691, p < 0.01] where cued end trials (M = 728.3 ms) were faster than non-cued end trials (M = 752.7 ms). SOA 1200: significant 23.2 ms effect [F(1,25) = 11.241, p < 0.01] where cued end trials (M = 702.4 ms) were faster than non-cued end trials (M = 725.6 ms). SOA 1500, significant 31.4 ms effect [F(1,34) = 12.4",METHOD,1,10.3389/fnint.2013.00088,Frontiers in Integrative Neuroscience,Front Integr Neurosci,The timecourse of space- and object-based attentional prioritization with varying degrees of certainty,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3851778&metadataPrefix=pmc,2013
499,503,PMC3852096,chi,"œá2(1) = 4.17, p < 0.05",NA,1,p < 0.05,4.17,NA,"n children s books portrayed more anger than shame and if Belgian children s books portrayed anger and shame to equal extents, using McNemar tests for paired samples (with continuity correction). We found that the American children s books were more likely to contain portrayals of anger than shame, œá2(1) = 4.17, p < 0.05. In Belgium, the number of books that portrayed anger and the number of books that portrayed shame was not significantly different, œá2(1) = 0.00, p = 1.00. Moreover, in all the Belgian children s books that contained an anger episode, we also identified a shame episode. In these books, shame tended",STUDY 2: CULTURAL PRODUCTS - REPRESENTATIONS OF ANGER AND SHAME IN POPULAR CHILDREN S BOOKS,1,10.3389/fpsyg.2013.00867,Frontiers in Psychology,Front Psychol,"Emotions in “the world”: cultural practices, products, and meanings of anger and shame in two individualist cultures",NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3852096&metadataPrefix=pmc,2013
500,504,PMC3852933,t,t(110) = 5.168p < .0001,NA,110,p < .0001,5.168,NA,"(0.96) 3.56 (0.92) t(110) = 6.479p < .0001/1.29 PANSS TS*** 2,12 (0.82) 3.49 (1.01) t(110) = 6.305,p < .0001/1.49 PANSS positive scale SWGC* 8.96 (2.09) 14.39 (4.35) t(110) = 8.417,p < .0001/1.59 PANSS PNS** 8.51 (1.71) 13.37 (4.40) t(110) = 6.617p < .0001/1.45 PANSS TS*** 8.19 (1.77) 12.73 (4.36) t(110) = 5.168p < .0001/1.36 PANSS negative scale SWGC* 10.57 (3.65) 18.70 (5.85) t(110) = 8.803,p < .0001/1.66 PANSS PNS** 9.64 (2.91) 17.30 (6.07) t(110) = 7.420,p < .0001/1.61 PANSS TS*** 9.58 (3.03) 16.16 (6.30) t(110) = 5.139,p < .0001/1.33 PANSS general psychopathology SWGC* 21.98 (4.87) 32.68 (7.48) t(110) = 8.964,",Results,4,10.1186/1471-244X-13-235,BMC Psychiatry,BMC Psychiatry,Criteria for symptom remission revisited: a study of patients affected by schizophrenia and schizoaffective disorders,NA,13,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3852933&metadataPrefix=pmc,2013
501,505,PMC3857545,t,"t(43) = 2.07, p < 0.044",NA,43,p < 0.044,2.07,NA,"1982; g Baddeley et a1., 1994; SD, Standard deviation; IQR, Interquartile Range; CI, Confidence Interval; nt, not tested; ms, milliseconds; wf, Weber Fraction. Older participants performed worse than young in tests assessing attention (ANT); specifically they were significantly slower at orienting [t(43) = 2.07, p < 0.044] and alerting attention following visual cues [t(43) = 2.33, p = 0.025]. Older participants were also worse than younger participants in processing stimuli containing conflicting information [t(43) = 3.52, p = 0.001]. Executive functions measured in the color Stroop task also indicated group differ",Study 1,2,10.3389/fpsyg.2013.00865,Frontiers in Psychology,Front Psychol,Age does not count: resilience of quantity processing in healthy ageing,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3857545&metadataPrefix=pmc,2013
502,506,PMC3858671,F,"F(9, 72) = 20.45; p < 0.0001",9,72,p < 0.0001,20.45,NA,"r increased at 24 h of continuous exposure (103 ¬± 9% increase). Figure 1 Ethanol increases Vamp2 gene expression. (A)Vamp2 mRNA levels increase after 1 h treatment with different concentrations of ethanol, as measured by qPCR. The half-maximal activation of Vamp2 was calculated as 40 ¬± 6 mM [n ‚â• 6; F(9, 72) = 20.45; p < 0.0001]. (B)Vamp2 mRNA levels increase after 60 mM ethanol exposure over time [n ‚â• 6; F(10, 195) = 39.58; p < 0.0001; *P < 0.05, ***P < 0.001]. HSF1 transcriptional activation mediates alcohol induction of Vamp2 gene expressionA subset of alcohol-responsive genes are known to be up-regulated via activatio",Results,1,10.3389/fnint.2013.00089,Frontiers in Integrative Neuroscience,Front Integr Neurosci,HSF1 transcriptional activity mediates alcohol induction of Vamp2 expression and GABA release,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3858671&metadataPrefix=pmc,2013
503,507,PMC3858672,F,"F(2, 75) = 1.18, p = 0.31",2,75,p = 0.31,1.18,NA,"ll errors) for both tasks. Error bars indicate standard error. **p < 0.01. We also examined the proportion of egocentric-bias errors (Figure 6B). The effects of Group [F(2, 75) = 10.4, p < 0.01] and Task [F(1, 75) = 18.7, p < 0.01] were significant, but the two-way interaction between Group vó Task [F(2, 75) = 1.18, p = 0.31] was not. This indicates that the proportion of egocentric-bias errors was significantly higher in the SMI task than the SM task, for all groups. With respect to group differences, the proportion of egocentric-bias errors in both the WS (p < 0.01) and VMA (p < 0.01) groups was significantly higher",Results (Experiment 2),3,10.3389/fnhum.2013.00856,Frontiers in Human Neuroscience,Front Hum Neurosci,Developmental changes in mental rotation ability and visual perspective-taking in children and adults with Williams syndrome,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3858672&metadataPrefix=pmc,2013
504,508,PMC3863759,F,"F(1,52) = 0.288, p = 0.594",1,52,p = 0.594,0.288,NA,"experiment showed no significant main effect of group, F(1,52) = 0.53, p = 0.47, partial Œ<U+2211>2 = 0.01. Just as in Experiment 1, digit span was longer than letter span, F(1,52) = 12.57, p = 0.001, partial Œ<U+2211>2= 0.20 (see Figure 2). There was no significant interaction effect between groups and character, F(1,52) = 0.288, p = 0.594, r = 0.074. However, because we predicted shorter digit but not letter spans for deaf signers than hearing non-signers, we investigated and found that there was no effect of group for either digit span, F(1,52) = 0.79, p = 0.38, partial Œ<U+2211>2 = 0.02 or letter span F(1,52) = 0.22, p = 0.64, partial Œ<U+2211>2",EXPERIMENT 2,1,10.3389/fpsyg.2013.00942,Frontiers in Psychology,Front Psychol,Similar digit-based working memory in deaf signers and hearing non-signers despite digit span differences,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3863759&metadataPrefix=pmc,2013
505,509,PMC3865517,t,"t(35) = 9.1, p < 0.001",NA,35,p < 0.001,9.1,NA,"lyses using paired t-tests revealed that subjects displayed a gradual decrease in percent correct responses from load 1 (96.8 ¬± 4.3%) over load 2 (84.9 ¬± 8.4%) to load 3 (70.1 ¬± 9.3%) with significant performance differences between load 3 and load 2 [t(35) = 11.9, p < 0.001] and load 2 and load 1 [t(35) = 9.1, p < 0.001]. This confirms an increase in working memory demands across the three load conditions. Neither the main effect of treatment [F(1, 34) = 0.123, p > 0.05] nor the treatment vó load interaction effect [F(2, 33) = 0.158, p > 0.05] reached statistical significance, indicating that PRO had neither a gene",Results,4,10.3389/fnbeh.2013.00197,Frontiers in Behavioral Neuroscience,Front Behav Neurosci,Inferior frontal gyrus preserves working memory and emotional learning under conditions of impaired noradrenergic signaling,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3865517&metadataPrefix=pmc,2013
506,510,PMC3867663,t,"t(22) = -0.58, p > 0.05",NA,22,p > 0.05,-0.58,NA,"long mean RT (M = 561, SE = 22), and the discriminability of expression was also low, indicated by a long mean RT (M = 546, SE = 23). The results of a t-test indicated that the discriminability of expression was similar to that of identity, t(22) = -0.49, p > 0.05. Error rates showed no difference, t(22) = -0.58, p > 0.05. Matching manipulations were confirmed in that either identity or expression had a relatively low discriminability. According to our third prediction, in such a condition, expression and identity would interfere with each other in the two directions. RESULTS AND DISCUSSIONTable 3 is a summary of de",EXPERIMENT 3,4,10.3389/fpsyg.2013.00943,Frontiers in Psychology,Front Psychol,Discriminability effect on Garner interference: evidence from recognition of facial identity and expression,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3867663&metadataPrefix=pmc,2013
507,511,PMC3868910,F,"F(2, 30) = 10.9, p = 0.0003",2,30,p = 0.0003,10.9,NA,"ength did not appear to differ between vectors (Figure 3B). This observation was supported by repeated measures ANOVA showing no significant effect of Vector [F(2, 15) = 2.8, p = 0.09] or interaction of Vector vó Branch order [F(4, 30) = 0.7, p = 0.60], but a significant main effect of Branch order [F(2, 30) = 10.9, p = 0.0003]. Therefore, dendritic length increased with increasing branch order, but this was not changed by CREB manipulation (Figures 3A,B). We also observed no difference in dendritic volume between neurons infected with the various vectors (Figures 3C,D). An ANOVA revealed no significant effects of Vector",Results,3,10.3389/fnbeh.2013.00209,Frontiers in Behavioral Neuroscience,Front Behav Neurosci,CREB regulates spine density of lateral amygdala neurons: implications for memory allocation,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3868910&metadataPrefix=pmc,2013
508,512,PMC3870319,F,"F(1, 157) = 0.005, p = 0.94",1,157,p = 0.94,0.005,NA,"ount of time grooming during the trial, and normalized the value to length of video analyzed (Figure 7C). ANOVA results show a significant effect of stress (no stress, light, sound) on percentage of time spent grooming [F(2, 157) = 6.921, p = 0.001], but no effect of drug (saline or NE antagonist) [F(1, 157) = 0.005, p = 0.94], or interaction between stress and drug [saline or NE antagonist cocktail; F(1, 159) = 0.124, p = 0.88]. Posthocs (Fisher's LSD) show that bright light and sound both decrease the percentage of time rats spend grooming when compared to no stress control sessions (Figure 7C). There was also no effe",Results,2,10.3389/fnint.2013.00097,Frontiers in Integrative Neuroscience,Front Integr Neurosci,Stressors impair odor recognition memory via an olfactory bulb-dependent noradrenergic mechanism,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3870319&metadataPrefix=pmc,2013
509,513,PMC3870319,F,"F(1, 47) = 2.162; p = 0.148",1,47,p = 0.148,2.162,NA,"ese two ITIs, no treatment group investigated the novel odor significantly more than the familiar odor (p > 0.05 in all cases). For Experiment 2b (Figure 4B), a MANOVA with level of NE (0, 1, 10, 100, or 1000 ŒºM) as a between subjects effect showed no effect of investigation time overall at 60 min [F(1, 47) = 2.162; p = 0.148], but did show a significant effect of investigation time at 180 min [F(1, 41) = 16.912; p < 0.001] but no interaction between drug and investigation time [F(4, 41) = 0.370; p = 0.823]. No individual treatment group investigated the novel odor significantly more than the familiar odor during Trial",Results,2,10.3389/fnint.2013.00097,Frontiers in Integrative Neuroscience,Front Integr Neurosci,Stressors impair odor recognition memory via an olfactory bulb-dependent noradrenergic mechanism,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3870319&metadataPrefix=pmc,2013
510,514,PMC3871292,F,"F(1, 43) = .69, p = .41",1,43,p = .41,0.69,NA,"icant interactions between Sample, Region and Group in the beta-2 (F(2, 86) = 1.17, p = .32) or beta-3 (F(2, 86) = 2.59, p = .09) bands. Furthermore, analysis of LORETA current source density showed no significant differences between samples in precuneus beta-2 (F(1, 43) = 1.32, p = .26) or beta-3 (F(1, 43) = .69, p = .41), cingulate beta-2 (F(1, 43) = .12, p = .73) or cuneus beta-2 (F(1, 43) = 1.33, p = .25) activity. Further there were no significant interactions between Sample and Group in precuneus beta-2 (F(1, 43) = .05, p = .83) or beta-3 (F(1, 43) = .11, p = .74), cingulate beta-2 (F(1, 43) = .20, p = .65) or",Results,4,10.1016/j.nicl.2013.11.008,Neuroimage : Clinical,Neuroimage Clin,A role for the precuneus in thought–action fusion: Evidence from participants with significant obsessive–compulsive symptoms<U+2606>,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3871292&metadataPrefix=pmc,2013
511,515,PMC3872049,F,"F(1, 28) = 8.688, p = 0.006",1,28,p = 0.006,8.688,NA,"of experience (verbal instructions: F(1, 28) = 8.119, p = 0.008; duration: F(1, 28) = 10.382, p = 0.003) and wheelchair use [verbal instructions: F(1, 28) = 8.89, p = 0.006; duration: F(1, 28) = 12.396, p = 0.001]. The significant interactions of experience and wheelchair use (verbal instructions: F(1, 28) = 8.688, p = 0.006; duration: F(1, 28) = 8.739, p = 0.006) revealed that especially the novice wheelchair user group needed more time and instructions to successfully place the basket.",Study 1‚Äîcarrying,2,10.3389/fpsyg.2013.00971,Frontiers in Psychology,Front Psychol,Assistance dogs provide a useful behavioral model to enrich communicative skills of assistance robots,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3872049&metadataPrefix=pmc,2013
512,516,PMC3872292,r,"r(209) = -0.714, p < 0.001",NA,209,p < 0.001,-0.714,NA,"riate correlation between the time (in years) and the corpus frequency Table 1. Table 1 Pearson correlation between semantic rating and year. Semantic rating % Raw Best fit r(209) = 0.461, p < 0.001 r(209) = 0.558, p < 0.001 Better fit r(209) = 0.645, p < 0.001 r(209) = 0.639, p < 0.001 Average fit r(209) = -0.714, p < 0.001 r(209) = -0.307, p < 0.001 Poor fit r(209) = -0.254, p < 0.001 r(209) = 0.03, p = 0.667 Poorest fit r(209) = -0.333, p < 0.001 r(209) = -0.270, p < 0.001 The results show an increasing trend (significant positive correlations) in the frequency of the best and the better fit semantic categories. The",Analysis and discussion,4,10.3389/fpsyg.2013.00989,Frontiers in Psychology,Front Psychol,"The role of semantics, pre-emption and skew in linguistic distributions: the case of the un-construction",NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3872292&metadataPrefix=pmc,2013
513,517,PMC3872324,F,"F(1, 9) = 5.1, p = 0.05",1,9,p = 0.05,5.1,NA,"o significant increases from baseline level (n: 2) for LM [n: 32, F(1, 17) = 7.2, p = 0.015] and EI [n: 28, F(1, 17) = 8.35, p = 0.15].  C‚Äùs HR changed significantly [F(4, 36) = 10.5, p = 0.001] due to significant increases for LM [F(1, 9) = 41.4, p = 0.001], EI [F(1, 9) = 17.7, p = 0.002], and DM [F(1, 9) = 5.1, p = 0.05], which was accompanied by significant change for LF [F(1, 9) = 7.2, p = 0.001], with marked increases for LM [F(1, 9) = 46, p < 0.001]. HF also changed significantly [F(4, 36) = 6.7, p < 0.001] accounted for by significant decreases with LM and EI [F(1, 9) = 11.9, p = 0.007 and F(1, 9) = 13.1, p =",Results,3,10.3389/fnhum.2013.00884,Frontiers in Human Neuroscience,Front Hum Neurosci,Neurophysiological and Behavioral Responses to Music Therapy in Vegetative and Minimally Conscious States,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3872324&metadataPrefix=pmc,2013
514,518,PMC3874853,F,"F(1, 9) = 19.86, p = 0.002",1,9,p = 0.002,19.86,NA,"1, 9) = 9.19, p = 0.01, (h2p) = 0.51 and VF by Electrode, F(15, 135) = 7.29, p = 0.004, (h2p) = 0.45 interactions. In order to investigate the VF by Target Type by Priming interaction, three-way ANOVAs were carried out for each visual field separately. There was a Target Type by Priming interaction F(1, 9) = 19.86, p = 0.002, (h2p) = 0.69 for the (RVF-LH), and a main effect of Electrode [F(15, 135) = 6.983, p = 0.003]. No other interactions were significant for the RVF/LH. The same Target Type by Priming interaction was not observed in the RVF/LH. In fact, it was very far from significance in the LVF/RH [F(1, 9) = 0.00",Results,2,10.3389/fpsyg.2013.00936,Frontiers in Psychology,Front Psychol,Electrophysiological evidence for the action of a center-surround mechanism on semantic processing in the left hemisphere,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3874853&metadataPrefix=pmc,2013
515,519,PMC3878404,F,"F (2, 25) = 2.49, p = 0.10",2,25,p = 0.10,2.49,NA,"le [F (2, 25) = 3.74, p < 0.05, Œ<U+2211>p2 = 0.23] were observed; post hoc comparisons (Tukey test, HSD, MS = 69.98; df = 25.00) showed controls had significantly higher anxiety scores (p < 0.05) than LTM. Social cognition measuresEmotion recognition: No differences were observed regarding total accuracy [F (2, 25) = 2.49, p = 0.10, Œ<U+2211>p2 = 0.16]. However, per category analysis showed significant differences in disgust recognition among groups [F (2, 25) = 4.1, p < 0.05, Œ<U+2211>p2 = 0.24]. A post-hoc comparison (Tukey HSD test, MS = 0.01; df = 25.00) revealed lower accuracy performance in LTM group (p < 0.05) than controls (see Figur",Results,2,10.1186/1744-9081-9-47,Behavioral and Brain Functions,Behav Brain Funct,Preliminary evidence about the effects of meditation on interoceptive sensitivity and social cognition,NA,9,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3878404&metadataPrefix=pmc,2013
516,520,PMC3879479,F,"F(1,28) = 9.01, p = 0.006",1,28,p = 0.006,9.01,NA,"5 points, is this scene negative for you?‚Äù; for positive scenes:  how much, from 0 to 5 points, is this scene positive for you?‚Äù; for neutral scenes:  how much, from 0 to 5 points, is this scene neutral for you?‚Äù). Emotion and Trait Anxiety were significant, [F(2,56) = 65.1, p < 0.001, Œ<U+2211>p2 = 0.69; F(1,28) = 9.01, p = 0.006, Œ<U+2211>p2 = 0.24]. These effects were further qualified by the significant interaction Emotion by Trait Anxiety, F(2,56) = 27.7, p < 0.001, Œ<U+2211>p2 = 0.51. Post hoc comparisons showed that negative scenes were judged as more negative by high compared to low trait anxiety individuals, p < 0.001, Œ<U+2211>p2 = 0.7. F",RESULTS,1,10.3389/fpsyg.2013.01001,Frontiers in Psychology,Front Psychol,Emotions shape memory suppression in trait anxiety,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3879479&metadataPrefix=pmc,2014
517,521,PMC3882717,F,"F(3,166) = 0.316, p = 0.814",3,166,p = 0.814,0.316,NA,"ubjects factor and found a significant group effect for divided attention [F(3,166) = 5.613, p = 0.001, Œ<U+2211>p2 = 0.092], with higher gain scores for both WM-REAS training groups (Figure 3). No group effects were found for fluid intelligence [F(3,166) = 0.667, p = 0.573, Œ<U+2211>p2 = 0.012], perceptual speed [F(3,166) = 0.316, p = 0.814, Œ<U+2211>p2 = 0.006], episodic memory [F(3,166) = 0.637, p = 0.592, Œ<U+2211>p2 = 0.011], ANT-visual attention [F(3,154) = 0.468, p = 0.705, Œ<U+2211>p2 = 0.009] and working memory [F(3,166) = 1.388, p = 0.248, Œ<U+2211>p2 = 0.024]. FIGURE 3 Transfer gain as a function of composite and group. Error bars represent ¬±SEM. ANOVAs on",RESULTS,1,10.3389/fpsyg.2013.01010,Frontiers in Psychology,Front Psychol,Cognitive training with casual video games: points to consider,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3882717&metadataPrefix=pmc,2014
518,522,PMC3882717,F,"F(3,161) = 4.271, p = 0.006",3,161,p = 0.006,4.271,NA,".045) 0.444 (0.038) 0.475 (0.043) 0.359 (0.04) 0.482 (0.045) Lag 8 accuracy F(3,164) = 2.656, p = 0.050, Œ<U+2211>p2 = 0.046 F(2,124) = 3.407, p = 0.036, Œ<U+2211>p2 = 0.052 0.769 (0.026) 0.802 (0.024) 0.757 (0.027) 0.751 (0.025) 0.792 (0.026) 0.876 (0.024) 0.828 (0.027) 0.84 (0.025) Trail Making Trails B-A RT (s) F(3,161) = 4.271, p = 0.006, Œ<U+2211>p2 = 0.074 F(2,119) = 2.090, p = 0.128, Œ<U+2211>p2 = 0.0341 26.958 (1.699) 20.863 (1.593) 25.746 (1.81) 23.232 (1.697) 21.241 (1.679) 20.146 (1.574) 21.657 (1.679) 24.489 (1.574) Trails A (s) F(3,161) = 0.258, p = 0.856, Œ<U+2211>p2 = 0.005 F(2,119) = 0.007, p = 0.993, Œ<U+2211>p2 < 0.001 27.592 (1.423) 23.434 (0.995)",RESULTS,3,10.3389/fpsyg.2013.01010,Frontiers in Psychology,Front Psychol,Cognitive training with casual video games: points to consider,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3882717&metadataPrefix=pmc,2014
519,523,PMC3882717,F,"F(3,166) = 0.163, p = 0.921",3,166,p = 0.921,0.163,NA,") 14.674 (0.623) 12.452 (0.683) 14 (0.63) Letter Sets Total correct F(3,162) = 0.271, p = 0.846, Œ<U+2211>p2 = 0.005 F(2,121) = 0.333, p = 0.718, Œ<U+2211>p2 = 0.005 12.095 (0.252) 12.571 (0.249) 12.564 (0.261) 12.744 (0.258) 12.884 (0.249) 13.14 (0.246) 12.381 (0.252) 12.786 (0.249) Shipley Abstract Total correct F(3,166) = 0.163, p = 0.921, Œ<U+2211>p2 = 0.003 F(2,124) = 0.197, p = 0.821, Œ<U+2211>p2 = 0.003 15.814 (0.326) 16.86 (0.294) 15.325 (0.338) 16.575 (0.305) 15.909 (0.322) 17.114 (0.291) 15.419 (0.326) 16.674 (0.294) Matrix Reasoning Reasoning accuracy F(3,164) = 0.559, p = 0.643, Œ<U+2211>p2 = 0.010 F(2,124) = 0.629, p = 0.535, Œ<U+2211>p2 = 0.010 79.302 (",RESULTS,2,10.3389/fpsyg.2013.01010,Frontiers in Psychology,Front Psychol,Cognitive training with casual video games: points to consider,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3882717&metadataPrefix=pmc,2014
520,524,PMC3885814,F,"F(8, 80) = 2.33, p = 0.026",8,80,p = 0.026,2.33,NA,"g the first 9 days was significant in both stimulated groups (p < 0.05). There was no significant difference between the previously stimulated and the unstimulated groups on day 10 (p > 0.1. Bars: s.e.m.; n = 44). There was only a weak LTH to tactile stimuli [mean day 9 = 83.8% of day 1; Figure 3B; F(8, 80) = 2.33, p = 0.026; gender: F < 1; interaction gender vó day: F(8, 80) = 1.18, p = 0.32]. Mean responses on test day 10 to acoustic stimuli were even slightly higher in the tactile (LTH) group compared to the tactile-control group. The two-factor ANOVA yielded no effect of gender [gender, interaction gender vó prestimu",Experiment 2: stimulus modality specificity of LTH,3,10.3389/fnint.2013.00103,Frontiers in Integrative Neuroscience,Front Integr Neurosci,"Longterm-habituation of the startle response in mice is stimulus modality, but not context specific",NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3885814&metadataPrefix=pmc,2014
521,525,PMC3890570,F,"F(1,52) = 0.17; p = .686",1,52,p = .686,0.17,NA,"ggesting no significant difference in interference sensitivity between young and older adults. A significant effect of condition (F(1,52) = 11.66; p < .05; Œ<U+2211>2 = 0.183), with smaller interference indices in the low-interference condition, was found. Finally, no significant age*condition interaction (F(1,52) = 0.17; p = .686; Œ<U+2211>2 = 0.003) was evidenced, suggesting that young and older adults did not differ in interference sensitivity across the two conditions (high- and low-interference). Moreover, planned comparisons confirmed that young and older adults did not differ in interference sensitivity in both high (F(1,52)",Results,4,10.1186/1471-2202-15-7,BMC Neuroscience,BMC Neurosci,Age-related decline in cognitive control: the role of fluid intelligence and processing speed,NA,15,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3890570&metadataPrefix=pmc,2014
522,526,PMC3893536,F,"F(4,1164) = 50.72, p < 0.05",4,1164,p < 0.05,50.72,NA,"atic events during the war** 15.06 (14.50-15.56) 13.63 (11.73-15.52) 16.45 (14.23-18.68) 20.83 (19.89-21.78) 15.79 (13.34-16.24) Traumatic events after the Peace Agreement*** 2.52 (2.19-5.86) 2.22 (0.96-3.48) 3.18 (1.12-5.25) 4.26 (3.31-5.21) 2.80 (2.06-3.55) *œá2 significant difference. p < 0.05. **F(4,1164) = 50.72, p < 0.05. ***F(4,1164) =11.07, p < 0.05. PTSD (both alone and in combination with other anxiety disorders) was by far the most common anxiety diagnosis amongst the participants. There were no gender differences in the prevalence rate of disorders, with the exception of PTSD-only; a significantly higher prop",Results,4,10.1186/1471-244X-14-6,BMC Psychiatry,BMC Psychiatry,Association between exposure to traumatic events and anxiety disorders in a post-conflict setting: a cross-sectional community study in South Sudan,NA,14,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3893536&metadataPrefix=pmc,2014
523,527,PMC3896790,F,"F(60,493.10 = 2.43; p < 0.001",60,493,p < 0.001,2.43,NA,"with short IRTs across sessions that was higher compared to the other exposure groups, and especially compared to the 6 mg/kg exposure group where the lowest number of responses with short IRTs was observed. The analyses showed a statistically significant strain vó dose vó session interaction effect, F(60,493.10 = 2.43; p < 0.001. Reinforcers collectedThe majority of the possible 30 reinforcers available during each session under the VI 180 s schedule were produced and collected by the animals during testing. The statistical analyses showed significant group differences in the number of reinforcers collected. However, these",Results,2,10.1186/1744-9081-10-1,Behavioral and Brain Functions,Behav Brain Funct,Behavioral changes following PCB 153 exposure in the Spontaneously Hypertensive rat – an animal model of Attention-Deficit/Hyperactivity disorder,NA,10,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3896790&metadataPrefix=pmc,2014
524,528,PMC3896790,F,"F(60,508.02 = 3.06; p < 0.001",60,508,p < 0.001,3.06,NA,"cross sessions. In WKY/NHsd, animals in the 1 mg/kg exposure group produced more responses during the first sessions than animals in the other exposure conditions, whereas this difference was small at the end of testing. This strain vó dose vó session interaction effect was statistically significant, F(60,508.02 = 3.06; p < 0.001). Responses with IRTs < 0.67 s (impulsivity) during the first 7 sessionsSHR/NCrl produced more responses with IRT < 0.67 s than WKY/NHsd, and the analyses showed a statistically significant main effect of strain, F(1,189 = 97.70; p < 0.001. The number of short IRTs increased across the first 7 sess",Results,1,10.1186/1744-9081-10-1,Behavioral and Brain Functions,Behav Brain Funct,Behavioral changes following PCB 153 exposure in the Spontaneously Hypertensive rat – an animal model of Attention-Deficit/Hyperactivity disorder,NA,10,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:3896790&metadataPrefix=pmc,2014
